eventID,occurrenceID,basisOfRecord,eventDate,kingdom,Order,scientificName,Commonname,taxonRank,individualCount,organismQuantity,organismQuantityType,occurrenceStatus,Latitude,Longitude,Pollutionscore,Endlatitude,Endlongitude,geodeticDatum,countryCode
N3P_A,N3P_A1,Humanobservation,2025-09-10,Plantae,Polypodiales,Pteridium_aquilinum,Bracken,Species,1,100,Percentagecover,Present,N55  42.253,W005 16.761,,,,WGS84,SCO
N3P_B,N3P_B1,Humanobservation,2025-09-10,Plantae,Rosales,Rubus_fruticosus_L.,European_blackberry,Species,1,20,Percentagecover,Present,N55  42.231,W005 16.724,,,,WGS84,SCO
N3P_B,N3P_B2,Humanobservation,2025-09-10,Plantae,Poales,Agrostis_capillaris,Common_bent,Species,1,50,Percentagecover,Present,N55  42.231,W005 16.724,,,,WGS84,SCO
N3P_B,N3P_B3,Humanobservation,2025-09-10,Plantae,Polypodiales,Pteridium_aquilinum,Bracken,Species,1,100,Percentagecover,Present,N55  42.231,W005 16.724,,,,WGS84,SCO
N3P_B,N3P_B4,Humanobservation,2025-09-10,Plantae,Gentianales,Galium_mollugo,Hedge_bedstraw,Species,1,50,Percentagecover,Present,N55  42.231,W005 16.724,,,,WGS84,SCO
N3P_C,N3P_C1,Humanobservation,2025-09-10,Plantae,Polypodiales,Pteridium_aquilinum,Bracken,Species,1,100,Percentagecover,Present,N55  42.205,W005 16.686,,,,WGS84,SCO
N3P_C,N3P_C2,Humanobservation,2025-09-10,Plantae,Gentianales,Galium_mollugo,Hedge_bedstraw,Species,1,60,Percentagecover,Present,N55  42.205,W005 16.686,,,,WGS84,SCO
N3P_C,N3P_C3,Humanobservation,2025-09-10,Plantae,Rosales,Rubus_fruticosus_L.,European_blackberry,Species,1,10,Percentagecover,Present,N55  42.205,W005 16.686,,,,WGS84,SCO
N3P_C,N3P_C4,Humanobservation,2025-09-10,Plantae,Hypnales,Rhytidadelphus_triquetrus,Big_shaggy-moss,Species,1,100,Percentagecover,Present,N55  42.205,W005 16.686,,,,WGS84,SCO
N3P_C,N3P_C5,Humanobservation,2025-09-10,Plantae,Lamiales,Teucrium_scorodonia,Wood_sage,Species,1,15,Percentagecover,Present,N55  42.205,W005 16.686,,,,WGS84,SCO
N3P_D,N3P_D1,Humanobservation,2025-09-10,Plantae,Dipsacales,Lonicera_periclymenum,European_honeysuckle,Species,1,20,Percentagecover,Present,N55  42.182,W005 16.640,,,,WGS84,SCO
N3P_D,N3P_D2,Humanobservation,2025-09-10,Plantae,Polypodiales,Pteridium_aquilinum,Bracken,Species,1,100,Percentagecover,Present,N55  42.182,W005 16.640,,,,WGS84,SCO
N3P_D,N3P_D3,Humanobservation,2025-09-10,Plantae,Hypnales,Rhytidadelphus_triquetrus,Big_shaggy-moss,Species,1,50,Percentagecover,Present,N55  42.182,W005 16.640,,,,WGS84,SCO
N3P_D,N3P_D4,Humanobservation,2025-09-10,Plantae,Lamiales,Teucrium_scorodonia,Wood_sage,Species,1,5,Percentagecover,Present,N55  42.182,W005 16.640,,,,WGS84,SCO
N3P_E,N3P_E1,Humanobservation,2025-09-10,Plantae,Polypodiales,Pteridium_aquilinum,Bracken,Species,1,100,Percentagecover,Present,N55  42.156,W005 16.606,,,,WGS84,SCO
N3P_E,N3P_E2,Humanobservation,2025-09-10,Plantae,Rosales,Rubus_fruticosus_L.,European_blackberry,Species,1,25,Percentagecover,Present,N55  42.156,W005 16.606,,,,WGS84,SCO
N3P_F,N3P_F1,Humanobservation,2025-09-10,Plantae,Polypodiales,Pteridium_aquilinum,Bracken,Species,1,100,Percentagecover,Present,N55  42.134,W005 16.563,,,,WGS84,SCO
N3P_F,N3P_F2,Humanobservation,2025-09-10,Plantae,Rosales,Rubus_fruticosus_L.,European_blackberry,Species,1,60,Percentagecover,Present,N55  42.134,W005 16.563,,,,WGS84,SCO
N3P_F,N3P_F3,Humanobservation,2025-09-10,Plantae,Hypnales,Rhytidadelphus_triquetrus,Big_shaggy-moss,Species,1,40,Percentagecover,Present,N55  42.134,W005 16.563,,,,WGS84,SCO
N3P_G,N3P_G1,Humanobservation,2025-09-10,Plantae,Rosales,Rubus_fruticosus_L.,European_blackberry,Species,1,33,Percentagecover,Present,N55  42.110,W005 16.517,,,,WGS84,SCO
N3P_G,N3P_G2,Humanobservation,2025-09-10,Plantae,Polypodiales,Pteridium_aquilinum,Bracken,Species,1,100,Percentagecover,Present,N55  42.110,W005 16.517,,,,WGS84,SCO
N3P_G,N3P_G3,Humanobservation,2025-09-10,Plantae,Hypnales,Rhytidadelphus_triquetrus,Big_shaggy-moss,Species,1,40,Percentagecover,Present,N55  42.110,W005 16.517,,,,WGS84,SCO
N3P_H,N3P_H1,Humanobservation,2025-09-10,Plantae,Polypodiales,Pteridium_aquilinum,Bracken,Species,1,100,Percentagecover,Present,N55  42.080,W005 16.471,,,,WGS84,SCO
N3P_H,N3P_H2,Humanobservation,2025-09-10,Plantae,Ranunculales,Ranunculus_repens,Creeping_buttercup,Species,1,25,Percentagecover,Present,N55  42.080,W005 16.471,,,,WGS84,SCO
N3P_H,N3P_H3,Humanobservation,2025-09-10,Plantae,Hypnales,Rhytidadelphus_triquetrus,Big_shaggy-moss,Species,1,60,Percentagecover,Present,N55  42.080,W005 16.471,,,,WGS84,SCO
N3P_H,N3P_H4,Humanobservation,2025-09-10,Plantae,Rosales,Potentilla_erecta,Tormentil,Species,1,5,Percentagecover,Present,N55  42.080,W005 16.471,,,,WGS84,SCO
N3P_H,N3P_H5,Humanobservation,2025-09-10,Plantae,Rosales,Rubus_fruticosus_L.,European_blackberry,Species,1,35,Percentagecover,Present,N55  42.080,W005 16.471,,,,WGS84,SCO
N3P_I,N3P_I1,Humanobservation,2025-09-10,Plantae,Polypodiales,Pteridium_aquilinum,Bracken,Species,1,100,Percentagecover,Present,N55  42.071,W005 16.414,,,,WGS84,SCO
N3P_I,N3P_I2,Humanobservation,2025-09-10,Plantae,Rosales,Rubus_fruticosus_L.,European_blackberry,Species,1,10,Percentagecover,Present,N55  42.071,W005 16.414,,,,WGS84,SCO
N3P_J,N3P_J1,Humanobservation,2025-09-10,Plantae,Polypodiales,Pteridium_aquilinum,Bracken,Species,1,100,Percentagecover,Present,N55  42.056,W005 16.365,,,,WGS84,SCO
N3P_J,N3P_J2,Humanobservation,2025-09-10,Plantae,Rosales,Rubus_fruticosus_L.,European_blackberry,Species,1,33,Percentagecover,Present,N55  42.056,W005 16.365,,,,WGS84,SCO
N3P_J,N3P_J3,Humanobservation,2025-09-10,Plantae,Gentianales,Galium_mollugo,Hedge_bedstraw,Species,1,40,Percentagecover,Present,N55  42.056,W005 16.365,,,,WGS84,SCO
N3P_J,N3P_J4,Humanobservation,2025-09-10,Plantae,Rosales,Rubus_fruticosus_L.,European_blackberry,Species,1,3,Percentagecover,Present,N55  42.056,W005 16.365,,,,WGS84,SCO
N3P_J,N3P_J5,Humanobservation,2025-09-10,Plantae,Poales,Agrostis_capillaris,Common_bent,Species,1,10,Percentagecover,Present,N55  42.056,W005 16.365,,,,WGS84,SCO
