eventID,occurrenceID,basisOfRecord,eventDate,kingdom,Order,scientificName,Commonname,taxonRank,individualCount,organismQuantity,organismQuantityType,occurrenceStatus,Latitude,Longitude,Pollutionscore,Endlatitude,Endlongitude,geodeticDatum,countryCode
N1B,N1B_1,Humanobservation,10/09/2025,Animalia,Vertebrata,Anthus pratensis,Meadow pipit,Species,6,6,Individual,Present,,,,,,WGS84,SCO
N3B,N3B_1,Humanobservation,12/09/2025,Animalia,Vertebrata,Columba palumbus,Wood pigeon,Species,3,3,Flock,Present,N55 42.366,W5 17.008,,N55 42.01612,W5 15.98,TRF (OS),SCO
N3B,N3B_2,Humanobservation,12/09/2025,Animalia,Vertebrata,Columba palumbus,Wood pigeon,Species,4,4,Flock,Present,N55 42.366,W5 17.008,,N55 42.01612,W5 15.98,TRF (OS),SCO
N3B,N3B_3,Humanobservation,12/09/2025,Animalia,Vertebrata,Columba palumbus,Wood pigeon,Species,2,2,Flock,Present,N55 42.366,W5 17.008,,N55 42.01612,W5 15.98,TRF (OS),SCO
N3B,N3B_4,Humanobservation,12/09/2025,Animalia,Vertebrata,Columba palumbus,Wood pigeon,Species,1,1,Individual,Present,N55 42.366,W5 17.008,,N55 42.01612,W5 15.98,TRF (OS),SCO
N3B,N3B_5,Humanobservation,12/09/2025,Animalia,Vertebrata,Columba palumbus,Wood pigeon,Species,1,1,Individual,Present,N55 42.366,W5 17.008,,N55 42.01612,W5 15.98,TRF (OS),SCO
N3B,N3B_6,Humanobservation,12/09/2025,Animalia,Vertebrata,Columba palumbus,Wood pigeon,Species,1,1,Individual,Present,N55 42.366,W5 17.008,,N55 42.01612,W5 15.98,TRF (OS),SCO
N3B,N3B_7,Humanobservation,12/09/2025,Animalia,Vertebrata,Columba palumbus,Wood pigeon,Species,1,1,Individual,Present,N55 42.366,W5 17.008,,N55 42.01612,W5 15.98,TRF (OS),SCO
N3B,N3B_8,Humanobservation,12/09/2025,Animalia,Vertebrata,Columba palumbus,Wood pigeon,Species,1,1,Individual,Present,N55 42.366,W5 17.008,,N55 42.01612,W5 15.98,TRF (OS),SCO
N3B,N3B_,Humanobservation,12/09/2025,Animalia,Vertebrata,Columba palumbus,Wood pigeon,Species,2,2,Flock,Present,N55 42.366,W5 17.008,,N55 42.01612,W5 15.98,TRF (OS),SCO
N3B,N3B_,Humanobservation,12/09/2025,Animalia,Vertebrata,Motacilla alba,Pied wagtail,Species,1,1,Individual,Present,N55 42.366,W5 17.008,,N55 42.01612,W5 15.98,TRF (OS),SCO
N3B,N3B_,Humanobservation,12/09/2025,Animalia,Vertebrata,Erithacus rubecula,European robin,Species,1,1,Individual,Present,N55 42.366,W5 17.008,,N55 42.01612,W5 15.98,TRF (OS),SCO
N3B,N3B_,Humanobservation,12/09/2025,Animalia,Vertebrata,Cyanistes caeruleus,Blue tit,Species,1,1,Individual,Present,N55 42.366,W5 17.008,,N55 42.01612,W5 15.98,TRF (OS),SCO
