eventID,occurrenceID,basisOfRecord,eventDate,kingdom,Order,scientificName,Commonname,taxonRank,individualCount,organismQuantity,organismQuantityType,occurrenceStatus,Latitude,Longitude,Pollutionscore,Endlatitude,Endlongitude,geodeticDatum,countryCode
S3P_A,S3P_A1,Humanobservation,2025-09-10,Plantae,Rosales,Urtica_dioica,Common_nettle,Species,1,15,Percentagecover,Present,N55  42.027,W005  17.134,,,,WGS84,SCO
S3P_A,S3P_A2,Humanobservation,2025-09-10,Plantae,Poales,Nardus_stricta,Mat_grass,Species,1,85,Percentagecover,Present,N55  42.027,W005  17.134,,,,WGS84,SCO
S3P_A,S3P_A3,Humanobservation,2025-09-10,Plantae,Poales,Deschampsia_cespitosa,Tufted_hairgrass,Species,1,15,Percentagecover,Present,N55  42.027,W005  17.134,,,,WGS84,SCO
S3P_B,S3P_B1,Humanobservation,2025-09-10,Plantae,Fabales,Trifolium_repens,White_clover,Species,1,85,Percentagecover,Present,N55  42.003,W005  17.094,,,,WGS84,SCO
S3P_B,S3P_B2,Humanobservation,2025-09-10,Plantae,Poales,Agrostis_capillaris,Common_bent,Species,1,3,Percentagecover,Present,N55  42.003,W005  17.094,,,,WGS84,SCO
S3P_B,S3P_B3,Humanobservation,2025-09-10,Plantae,Poales,Nardus_stricta,Mat_grass,Species,1,60,Percentagecover,Present,N55  42.003,W005  17.094,,,,WGS84,SCO
S3P_C,S3P_C1,Humanobservation,2025-09-10,Plantae,Poales,Agrostis_capillaris,Common_bent,Species,1,8,Percentagecover,Present,N55  41.979,W005  17.065,,,,WGS84,SCO
S3P_C,S3P_C2,Humanobservation,2025-09-10,Plantae,Fabales,Trifolium_repens,White_clover,Species,1,20,Percentagecover,Present,N55  41.979,W005  17.065,,,,WGS84,SCO
S3P_C,S3P_C3,Humanobservation,2025-09-10,Plantae,Poales,Nardus_stricta,Mat_grass,Species,1,80,Percentagecover,Present,N55  41.979,W005  17.065,,,,WGS84,SCO
S3P_D,S3P_D1,Humanobservation,2025-09-10,Plantae,Poales,Juncus_inflexus,Hard_rush,Species,1,40,Percentagecover,Present,N55  41.949,W005  17.042,,,,WGS84,SCO
S3P_D,S3P_D2,Humanobservation,2025-09-10,Plantae,Poales,Juncus_effusus,Soft_rush,Species,1,40,Percentagecover,Present,N55  41.949,W005  17.042,,,,WGS84,SCO
S3P_E,S3P_E1,Humanobservation,2025-09-10,Plantae,Poales,Nardus_stricta,Mat_grass,Species,1,95,Percentagecover,Present,N55  41.922,W005  17.005,,,,WGS84,SCO
S3P_E,S3P_E2,Humanobservation,2025-09-10,Plantae,Rosales,Potentilla_erecta,Tormentil,Species,1,25,Percentagecover,Present,N55  41.922,W005  17.005,,,,WGS84,SCO
S3P_F,S3P_F1,Humanobservation,2025-09-10,Plantae,Poales,Nardus_stricta,Mat_grass,Species,1,90,Percentagecover,Present,N55  41.902,W005  16.956,,,,WGS84,SCO
S3P_F,S3P_F2,Humanobservation,2025-09-10,Plantae,Rosales,Potentilla_erecta,Tormentil,Species,1,15,Percentagecover,Present,N55  41.902,W005  16.956,,,,WGS84,SCO
S3P_F,S3P_F3,Humanobservation,2025-09-10,Plantae,Poales,Deschampsia_cespitosa,Tufted_hairgrass,Species,1,20,Percentagecover,Present,N55  41.902,W005  16.956,,,,WGS84,SCO
S3P_F,S3P_F4,Humanobservation,2025-09-10,Plantae,Poales,Holcus_lanatus,Yorkshire_fog,Species,1,15,Percentagecover,Present,N55  41.902,W005  16.956,,,,WGS84,SCO
S3P_G,S3P_G1,Humanobservation,2025-09-10,Plantae,Poales,Carex,Sedge,Genus,1,20,Percentagecover,Present,N55  41.907,W005  16.884,,,,WGS84,SCO
S3P_G,S3P_G2,Humanobservation,2025-09-10,Plantae,Poales,Juncus_effusus,Soft_rush,Species,1,30,Percentagecover,Present,N55  41.907,W005  16.884,,,,WGS84,SCO
S3P_G,S3P_G3,Humanobservation,2025-09-10,Plantae,Poales,Deschampsia_cespitosa,Tufted_hairgrass,Species,1,20,Percentagecover,Present,N55  41.907,W005  16.884,,,,WGS84,SCO
S3P_H,S3P_H1,Humanobservation,2025-09-10,Plantae,Rosales,Potentilla_erecta,Tormentil,Species,1,50,Percentagecover,Present,N55  41.862,W005  16.861,,,,WGS84,SCO
S3P_H,S3P_H2,Humanobservation,2025-09-10,Plantae,Poales,Nardus_stricta,Mat_grass,Species,1,80,Percentagecover,Present,N55  41.862,W005  16.861,,,,WGS84,SCO
S3P_H,S3P_H3,Humanobservation,2025-09-10,Plantae,Poales,Carex,Sedge,Genus,1,5,Percentagecover,Present,N55  41.862,W005  16.861,,,,WGS84,SCO
S3P_I,S3P_I1,Humanobservation,2025-09-10,Plantae,Polypodiales,Pteridium_aquilinum,Bracken,Species,1,15,Percentagecover,Present,N55  41.843,W005  16.821,,,,WGS84,SCO
S3P_I,S3P_I2,Humanobservation,2025-09-10,Plantae,Poales,Nardus_stricta,Mat_grass,Species,1,100,Percentagecover,Present,N55  41.843,W005  16.821,,,,WGS84,SCO
S3P_J,S3P_J1,Humanobservation,2025-09-10,Plantae,Fagales,Myrica_gale,Bog_myrtle,Species,1,10,Percentagecover,Present,N55  41.828,W005  16.810,,,,WGS84,SCO
S3P_J,S3P_J2,Humanobservation,2025-09-10,Plantae,Sphagnales,Sphagnum,Sphagnum_moss,Genus,1,5,Percentagecover,Present,N55  41.828,W005  16.810,,,,WGS84,SCO
S3P_J,S3P_J3,Humanobservation,2025-09-10,Plantae,Poales,Carex,Sedge,Genus,1,60,Percentagecover,Present,N55  41.828,W005  16.810,,,,WGS84,SCO
S3P_J,S3P_J4,Humanobservation,2025-09-10,Plantae,Poales,Holcus_lanatus,Yorkshire_fog,Species,1,3,Percentagecover,Present,N55  41.828,W005  16.810,,,,WGS84,SCO
S1P_A,S1P_A1,Humanobservation,2025-09-11,Plantae,Poales,Nardus_stricta,Mat_grass,Species,1,100,Percentagecover,Present,N55  41.870,W005  17.278,,,,WGS84,SCO
S1P_A,S1P_A2,Humanobservation,2025-09-11,Plantae,Rosales,Potentilla_erecta,Tormentil,Species,1,30,Percentagecover,Present,N55  41.870,W005  17.278,,,,WGS84,SCO
S1P_A,S1P_A3,Humanobservation,2025-09-11,Plantae,Gentianales,Galium_saxatile,Heath_bedstraw,Species,1,40,Percentagecover,Present,N55  41.870,W005  17.278,,,,WGS84,SCO
S1P_A,S1P_A4,Humanobservation,2025-09-11,Plantae,Poales,Holcus_lanatus,Yorkshire_fog,Species,1,5,Percentagecover,Present,N55  41.870,W005  17.278,,,,WGS84,SCO
S1P_B,S1P_B1,Humanobservation,2025-09-11,Plantae,Poales,Nardus_stricta,Mat_grass,Species,1,100,Percentagecover,Present,N55  41.857,W005  17.272,,,,WGS84,SCO
S1P_B,S1P_B2,Humanobservation,2025-09-11,Plantae,Rosales,Potentilla_erecta,Tormentil,Species,1,5,Percentagecover,Present,N55  41.857,W005  17.272,,,,WGS84,SCO
S1P_C,S1P_C1,Humanobservation,2025-09-11,Plantae,Polypodiales,Pteridium_aquilinum,Bracken,Species,1,80,Percentagecover,Present,N55  41.839,W005  17.280,,,,WGS84,SCO
S1P_C,S1P_C2,Humanobservation,2025-09-11,Plantae,Poales,Nardus_stricta,Mat_grass,Species,1,100,Percentagecover,Present,N55  41.839,W005  17.280,,,,WGS84,SCO
S1P_C,S1P_C3,Humanobservation,2025-09-11,Plantae,Hypnales,Rhytidiadelphus_triquetrus,Big_shaggy-moss,Species,1,20,Percentagecover,Present,N55  41.839,W005  17.280,,,,WGS84,SCO
S1P_D,S1P_D1,Humanobservation,2025-09-11,Plantae,Polypodiales,Pteridium_aquilinum,Bracken,Species,1,15,Percentagecover,Present,N55  41.825,W005  17.275,,,,WGS84,SCO
S1P_D,S1P_D2,Humanobservation,2025-09-11,Plantae,Poales,Nardus_stricta,Mat_grass,Species,1,80,Percentagecover,Present,N55  41.825,W005  17.275,,,,WGS84,SCO
S1P_D,S1P_D3,Humanobservation,2025-09-11,Plantae,Rosales,Potentilla_erecta,Tormentil,Species,1,5,Percentagecover,Present,N55  41.825,W005  17.275,,,,WGS84,SCO
S1P_E,S1P_E1,Humanobservation,2025-09-11,Plantae,Polypodiales,Pteridium_aquilinum,Bracken,Species,1,25,Percentagecover,Present,N55  41.809,W005  17.269,,,,WGS84,SCO
S1P_E,S1P_E2,Humanobservation,2025-09-11,Plantae,Poales,Nardus_stricta,Mat_grass,Species,1,90,Percentagecover,Present,N55  41.809,W005  17.269,,,,WGS84,SCO
S1P_E,S1P_E3,Humanobservation,2025-09-11,Plantae,Rosales,Urtica_dioica,Common_nettle,Species,1,5,Percentagecover,Present,N55  41.809,W005  17.269,,,,WGS84,SCO
S1P_F,S1P_F1,Humanobservation,2025-09-11,Plantae,Poales,Nardus_stricta,Mat_grass,Species,1,20,Percentagecover,Present,N55  41.793,W005  17.255,,,,WGS84,SCO
S1P_F,S1P_F2,Humanobservation,2025-09-11,Plantae,Malpighiales,Viola_palustris,Marsh_violet,Species,1,8,Percentagecover,Present,N55  41.793,W005  17.255,,,,WGS84,SCO
S1P_F,S1P_F3,Humanobservation,2025-09-11,Plantae,Polypodiales,Pteridium_aquilinum,Bracken,Species,1,30,Percentagecover,Present,N55  41.793,W005  17.255,,,,WGS84,SCO
S1P_G,S1P_G1,Humanobservation,2025-09-11,Plantae,Polypodiales,Pteridium_aquilinum,Bracken,Species,1,5,Percentagecover,Present,N55  41.778,W005  17.249,,,,WGS84,SCO
S1P_G,S1P_G2,Humanobservation,2025-09-11,Plantae,Rosales,Potentilla_erecta,Tormentil,Species,1,5,Percentagecover,Present,N55  41.778,W005  17.249,,,,WGS84,SCO
S1P_G,S1P_G3,Humanobservation,2025-09-11,Plantae,Poales,Nardus_stricta,Mat_grass,Species,1,90,Percentagecover,Present,N55  41.778,W005  17.249,,,,WGS84,SCO
S1P_H,S1P_H1,Humanobservation,2025-09-11,Plantae,Polypodiales,Pteridium_aquilinum,Bracken,Species,1,35,Percentagecover,Present,N55  41.763,W005  17.235,,,,WGS84,SCO
S1P_H,S1P_H2,Humanobservation,2025-09-11,Plantae,Malpighiales,Viola_palustris,Marsh_violet,Species,1,20,Percentagecover,Present,N55  41.763,W005  17.235,,,,WGS84,SCO
S1P_H,S1P_H3,Humanobservation,2025-09-11,Plantae,Poales,Nardus_stricta,Mat_grass,Species,1,100,Percentagecover,Present,N55  41.763,W005  17.235,,,,WGS84,SCO
S1P_H,S1P_H4,Humanobservation,2025-09-11,Plantae,Rosales,Potentilla_erecta,Tormentil,Species,1,5,Percentagecover,Present,N55  41.763,W005  17.235,,,,WGS84,SCO
S1P_H,S1P_H5,Humanobservation,2025-09-11,Plantae,Gentianales,Galium_saxatile,Heath_bedstraw,Species,1,40,Percentagecover,Present,N55  41.763,W005  17.235,,,,WGS84,SCO
S2P_A,S2P_A1,Humanobservation,2025-09-11,Plantae,Polypodiales,Pteridium_aquilinum,Bracken,Species,1,70,Percentagecover,Present,N55  41.935,W005  17.240,,,,WGS84,SCO
S2P_A,S2P_A2,Humanobservation,2025-09-11,Plantae,Poales,Nardus_stricta,Mat_grass,Species,1,90,Percentagecover,Present,N55  41.935,W005  17.240,,,,WGS84,SCO
S2P_B,S2P_B1,Humanobservation,2025-09-11,Plantae,Poales,Agrostis_capillaris,Common_bent,Species,1,5,Percentagecover,Present,N55  41.924,W005  17.220,,,,WGS84,SCO
S2P_B,S2P_B2,Humanobservation,2025-09-11,Plantae,Poales,Nardus_stricta,Mat_grass,Species,1,95,Percentagecover,Present,N55  41.924,W005  17.220,,,,WGS84,SCO
S2P_B,S2P_B3,Humanobservation,2025-09-11,Plantae,Poales,Holcus_lanatus,Yorkshire_fog,Species,1,2,Percentagecover,Present,N55  41.924,W005  17.220,,,,WGS84,SCO
S2P_C,S2P_C1,Humanobservation,2025-09-11,Plantae,Polypodiales,Pteridium_aquilinum,Bracken,Species,1,30,Percentagecover,Present,N55  41.914,W005  17.203,,,,WGS84,SCO
S2P_C,S2P_C2,Humanobservation,2025-09-11,Plantae,Poales,Nardus_stricta,Mat_grass,Species,1,95,Percentagecover,Present,N55  41.914,W005  17.203,,,,WGS84,SCO
S2P_C,S2P_C3,Humanobservation,2025-09-11,Plantae,Primulaceae,Primula_vulgaris,Primrose,Species,1,10,Percentagecover,Present,N55  41.914,W005  17.203,,,,WGS84,SCO
S2P_C,S2P_C4,Humanobservation,2025-09-11,Plantae,Gentianales,Galium_saxatile,Heath_bedstraw,Species,1,35,Percentagecover,Present,N55  41.914,W005  17.203,,,,WGS84,SCO
S2P_D,S2P_D1,Humanobservation,2025-09-11,Plantae,Poales,Nardus_stricta,Mat_grass,Species,1,100,Percentagecover,Present,N55  41.894,W005  17.194,,,,WGS84,SCO
S2P_D,S2P_D2,Humanobservation,2025-09-11,Plantae,Hypnales,Rhytidiadelphus_triquetrus,Big_shaggy_moss,Species,1,10,Percentagecover,Present,N55  41.894,W005  17.194,,,,WGS84,SCO
S2P_D,S2P_D3,Humanobservation,2025-09-11,Plantae,Rosales,Potentilla_erecta,Tormentil,Species,1,10,Percentagecover,Present,N55  41.894,W005  17.194,,,,WGS84,SCO
S2P_D,S2P_D4,Humanobservation,2025-09-11,Plantae,Poales,Deschampsia_cespitosa,Tufted_hairgrass,Species,1,5,Percentagecover,Present,N55  41.894,W005  17.194,,,,WGS84,SCO
S2P_D,S2P_D5,Humanobservation,2025-09-11,Plantae,Gentianales,Galium_saxatile,Heath_bedstraw,Species,1,10,Percentagecover,Present,N55  41.894,W005  17.194,,,,WGS84,SCO
S2P_D,S2P_D6,Humanobservation,2025-09-11,Plantae,Poales,Holcus_lanatus,Yorkshire_fog,Species,1,5,Percentagecover,Present,N55  41.894,W005  17.194,,,,WGS84,SCO
S2P_E,S2P_E1,Humanobservation,2025-09-11,Plantae,Poales,Nardus_stricta,Mat_grass,Species,1,90,Percentagecover,Present,N55  41.881,W005  17.177,,,,WGS84,SCO
S2P_E,S2P_E2,Humanobservation,2025-09-11,Plantae,Rosales,Potentilla_erecta,Tormentil,Species,1,3,Percentagecover,Present,N55  41.881,W005  17.177,,,,WGS84,SCO
S2P_E,S2P_E3,Humanobservation,2025-09-11,Plantae,Poales,Agrostis_capillaris,Common_bent,Species,1,5,Percentagecover,Present,N55  41.881,W005  17.177,,,,WGS84,SCO
S2P_E,S2P_E4,Humanobservation,2025-09-11,Plantae,Poales,Holcus_lanatus,Yorkshire_fog,Species,1,5,Percentagecover,Present,N55  41.881,W005  17.177,,,,WGS84,SCO
S2P_E,S2P_E5,Humanobservation,2025-09-11,Plantae,Gentianales,Galium_saxatile,Heath_bedstraw,Species,1,25,Percentagecover,Present,N55  41.881,W005  17.177,,,,WGS84,SCO
S2P_F,S2P_F1,Humanobservation,2025-09-11,Plantae,Polytrichales,Polytrichum_commune,Common_haircap,Species,1,30,Percentagecover,Present,N55  41.867,W005  17.160,,,,WGS84,SCO
S2P_F,S2P_F2,Humanobservation,2025-09-11,Plantae,Polypodiales,Pteridium_aquilinum,Bracken,Species,1,15,Percentagecover,Present,N55  41.867,W005  17.160,,,,WGS84,SCO
S2P_F,S2P_F3,Humanobservation,2025-09-11,Plantae,Rosales,Potentilla_erecta,Tormentil,Species,1,15,Percentagecover,Present,N55  41.867,W005  17.160,,,,WGS84,SCO
S2P_F,S2P_F4,Humanobservation,2025-09-11,Plantae,Poales,Nardus_stricta,Mat_grass,Species,1,80,Percentagecover,Present,N55  41.867,W005  17.160,,,,WGS84,SCO
S2P_F,S2P_F5,Humanobservation,2025-09-11,Plantae,Gentianales,Galium_saxatile,Heath_bedstraw,Species,1,10,Percentagecover,Present,N55  41.867,W005  17.160,,,,WGS84,SCO
S2P_G,S2P_G1,Humanobservation,2025-09-11,Plantae,Poales,Agrostis_capillaris,Common_bent,Species,1,2,Percentagecover,Present,N55  41.857,W005  17.140,,,,WGS84,SCO
S2P_G,S2P_G2,Humanobservation,2025-09-11,Plantae,Poales,Holcus_lanatus,Yorkshire_fog,Species,1,10,Percentagecover,Present,N55  41.857,W005  17.140,,,,WGS84,SCO
S2P_G,S2P_G3,Humanobservation,2025-09-11,Plantae,Polypodiales,Pteridium_aquilinum,Bracken,Species,1,3,Percentagecover,Present,N55  41.857,W005  17.140,,,,WGS84,SCO
S2P_G,S2P_G4,Humanobservation,2025-09-11,Plantae,Rosales,Potentilla_erecta,Tormentil,Species,1,3,Percentagecover,Present,N55  41.857,W005  17.140,,,,WGS84,SCO
S2P_G,S2P_G5,Humanobservation,2025-09-11,Plantae,Poales,Nardus_stricta,Mat_grass,Species,1,95,Percentagecover,Present,N55  41.857,W005  17.140,,,,WGS84,SCO
S2P_H,S2P_H1,Humanobservation,2025-09-11,Plantae,Poales,Agrostis_capillaris,Common_bent,Species,1,1,Percentagecover,Present,N55  41.843,W005  17.134,,,,WGS84,SCO
S2P_H,S2P_H2,Humanobservation,2025-09-11,Plantae,Poales,Holcus_lanatus,Yorkshire_fog,Species,1,5,Percentagecover,Present,N55  41.843,W005  17.134,,,,WGS84,SCO
S2P_H,S2P_H3,Humanobservation,2025-09-11,Plantae,Rosales,Potentilla_erecta,Tormentil,Species,1,20,Percentagecover,Present,N55  41.843,W005  17.134,,,,WGS84,SCO
S2P_H,S2P_H4,Humanobservation,2025-09-11,Plantae,Polypodiales,Pteridium_aquilinum,Bracken,Species,1,5,Percentagecover,Present,N55  41.843,W005  17.134,,,,WGS84,SCO
S2P_H,S2P_H5,Humanobservation,2025-09-11,Plantae,Poales,Nardus_stricta,Mat_grass,Species,1,95,Percentagecover,Present,N55  41.843,W005  17.134,,,,WGS84,SCO
S2P_H,S2P_H6,Humanobservation,2025-09-11,Plantae,Poales,Carex,Sedge,Genus,1,15,Percentagecover,Present,N55  41.843,W005  17.134,,,,WGS84,SCO
