eventID,occurrenceID,basisOfRecord,eventDate,kingdom,Order,scientificName,Commonname,taxonRank,individualCount,organismQuantity,organismQuantityType,occurrenceStatus,Latitude,Longitude,Pollutionscore,Endlatitude,Endlongitude,geodeticDatum,countryCode
S1TIN_A,S1TIN_A1,Human_observation ,11/09/2025,Animalia,Araneae,Araneae,Spider,Order,2,2,Individual,Present,N55 41.870,W005 17.278,,,,WGS84,GB
S1TIN_A,S1TIN_A2,Human_observation ,11/09/2025,Animalia,Ixodida,Ixodoidea,Tick,Family,4,4,Individual,Present,N55 41.870,W005 17.278,,,,WGS84,GB
S1TIN_A,S1TIN_A3,Human_observation ,11/09/2025,Animalia,Coleoptera,Geotrupes_stercorarius,Dor_beetle,Species,1,1,Individual,Present,N55 41.870,W005 17.278,,,,WGS84,GB
S1TIN_A,S1TIN_A4,Human_observation ,11/09/2025,Animalia,Lepidoptera,Lepidoptera,Caterpillar,Order,1,1,Individual,Present,N55 41.870,W005 17.278,,,,WGS84,GB
S1TIN_A,S1TIN_A5,Human_observation ,11/09/2025,Animalia,Lepidoptera,Euthrix_potatoria,Drinker_moth,Species,1,1,Individual,Present,N55 41.870,W005 17.278,,,,WGS84,GB
S1TIN_B,S1TIN_B1,Human_observation ,11/09/2025,Animalia,Ixodida,Ixodoidea,Tick,Family,20,20,Individual,Present,N55 41.857,W005 17.272,,,,WGS84,GB
S1TIN_B,S1TIN_B2,Human_observation ,11/09/2025,Animalia,Araneae,Araneae,Spider,Order,1,1,Individual,Present,N55 41.857,W005 17.272,,,,WGS84,GB
S1TIN_B,S1TIN_B3,Human_observation ,11/09/2025,Animalia,Araneae,Araneae,Spider,Order,1,1,Individual,Present,N55 41.857,W005 17.272,,,,WGS84,GB
S1TIN_B,S1TIN_B4,Human_observation ,11/09/2025,Animalia,Araneae,Araneae,Spider,Order,1,1,Individual,Present,N55 41.857,W005 17.272,,,,WGS84,GB
S1TIN_B,S1TIN_B5,Human_observation ,11/09/2025,Animalia,Hemiptera,Aphididae,Aphid,Family,1,1,Individual,Present,N55 41.857,W005 17.272,,,,WGS84,GB
S1TIN_C,S1TIN_C1,Human_observation ,11/09/2025,Animalia,Araneae,Araneae,Spider,Order,1,1,Individual,Present,N55 41.839,W005 17.280,,,,WGS84,GB
S1TIN_C,S1TIN_C2,Human_observation ,11/09/2025,Animalia,Ixodida,Ixodoidea,Tick,Family,1,1,Individual,Present,N55 41.839,W005 17.280,,,,WGS84,GB
S1TIN_C,S1TIN_C3,Human_observation ,11/09/2025,Animalia,Hymenoptera,Formicidae,Ant,Family,1,1,Individual,Present,N55 41.839,W005 17.280,,,,WGS84,GB
S1TIN_C,S1TIN_C4,Human_observation ,11/09/2025,Animalia,Hymenoptera,Formicidae,Ant,Family,1,1,Individual,Present,N55 41.839,W005 17.280,,,,WGS84,GB
S1TIN_D,S1TIN_D1,Human_observation ,11/09/2025,Animalia,Araneae,Araneae,Spider,Order,1,1,Individual,Present,N55 41.825,W005 17.275,,,,WGS84,GB
S1TIN_D,S1TIN_D2,Human_observation ,11/09/2025,Animalia,Araneae,Araneae,Spider,Order,1,1,Individual,Present,N55 41.825,W005 17.275,,,,WGS84,GB
S1TIN_E,S1TIN_E1,Human_observation ,11/09/2025,Animalia,Ixodida,Ixodoidea,Tick,Family,1,1,Individual,Present,N55 41.809,W005 17.269,,,,WGS84,GB
S1TIN_F,S1TIN_F1,Human_observation ,11/09/2025,Animalia,Ixodida,Ixodoidea,Tick,Family,4,4,Individual,Present,N55 41.793,W005 17.255,,,,WGS84,GB
S1TIN_F,S1TIN_F2,Human_observation ,11/09/2025,Animalia,Hymenoptera,Formicidae,Ant,Family,1,1,Individual,Present,N55 41.793,W005 17.255,,,,WGS84,GB
S1TIN_F,S1TIN_F3,Human_observation ,11/09/2025,Animalia,Araneae,Araneae,Spider,Order,1,1,Individual,Present,N55 41.793,W005 17.255,,,,WGS84,GB
S1TIN_F,S1TIN_F4,Human_observation ,11/09/2025,Animalia,Thysanoptera,Thysanoptera,Thrip,Order,1,1,Individual,Present,N55 41.793,W005 17.255,,,,WGS84,GB
S1TIN_F,S1TIN_F5,Human_observation ,11/09/2025,Animalia,Diptera,Tipuloidea,Crane_fly,Family,1,1,Individual,Present,N55 41.793,W005 17.255,,,,WGS84,GB
S1TIN_G,S1TIN_G1,Human_observation ,11/09/2025,Animalia,Araneae,Araneae,Spider,Order,2,2,Individual,Present,N55 41.778,W005 17.249,,,,WGS84,GB
S1TIN_H,S1TIN_H1,Human_observation ,11/09/2025,Animalia,Ixodida,Ixodoidea,Tick,Family,3,3,Individual,Present,N55 41.763,W005 17.235,,,,WGS84,GB
S1TIN_H,S1TIN_H2,Human_observation ,11/09/2025,Animalia,Araneae,Araneae,Spider,Order,1,1,Individual,Present,N55 41.763,W005 17.235,,,,WGS84,GB
S1TIN_H,S1TIN_H3,Human_observation ,11/09/2025,Animalia,Homoptera,Homoptera,Insect,Order,2,2,Individual,Present,N55 41.763,W005 17.235,,,,WGS84,GB
S1TIN_H,S1TIN_H4,Human_observation ,11/09/2025,Animalia,Hemiptera,Hemiptera,True_bug,Order,1,1,Individual,Present,N55 41.763,W005 17.235,,,,WGS84,GB
